student_id,assignment_id,sample_count,mean_yaw,mean_pitch,mean_roll,focused_ratio
36,6,42,4.99,0.47,-3.05,0.5238
36,7,32,-5.84,1.71,-7.2,0.5312
37,4,31,0.16,-6.47,28.0,0.4194
37,5,35,0.54,-2.94,17.45,0.5429
37,6,21,3.06,2.05,5.41,0.7619
37,7,32,-4.1,6.09,5.6,0.5312
38,4,33,-3.38,3.57,12.4,0.5758
38,5,33,3.05,-1.63,14.71,0.3939
38,6,40,0.45,1.81,4.59,0.575
38,7,20,-3.8,8.83,-30.81,0.4
39,4,31,2.88,-5.03,-30.93,0.7742
39,5,41,-7.2,4.33,0.92,0.6829
39,6,25,-8.49,-4.73,6.73,0.64
39,7,30,5.2,-0.76,20.32,0.8
40,4,42,1.16,2.16,-1.97,0.8095
40,5,39,-1.78,-0.62,21.31,0.6154
40,6,37,5.84,1.03,-26.33,0.7838
40,7,38,0.07,-4.05,24.97,0.7895
41,4,25,6.36,-0.66,13.36,0.44
41,5,20,4.18,-4.43,3.09,0.45
41,6,25,1.99,2.79,-2.99,0.84
41,7,44,1.78,-1.05,0.86,0.8409
